[19:14:18] 登录成功: 13800138000, 时间: .027576790s
[19:14:18] 查询成功: 13800138000, 时间: .030679178s
[19:14:18] 登录成功: 13900139000, 时间: .026262927s
[19:14:18] 查询成功: 13900139000, 时间: .021777604s
[19:14:18] 登录成功: 13700137000, 时间: .025459664s
[19:14:18] 查询成功: 13700137000, 时间: .021548187s
[19:14:19] 登录成功: 13800138000, 时间: .029638781s
[19:14:19] 查询成功: 13800138000, 时间: .036358547s
[19:14:19] 登录成功: 13900139000, 时间: .028829916s
[19:14:19] 查询成功: 13900139000, 时间: .035219283s
[19:14:19] 登录成功: 13700137000, 时间: .028690509s
[19:14:19] 查询成功: 13700137000, 时间: .039127016s
[19:14:19] 登录成功: 13800138000, 时间: .028700485s
[19:14:19] 查询成功: 13800138000, 时间: .035386187s
[19:14:19] 登录成功: 13900139000, 时间: .030019976s
[19:14:19] 查询成功: 13900139000, 时间: .036771469s
[19:14:19] 登录成功: 13700137000, 时间: .035457618s
[19:14:20] 查询成功: 13700137000, 时间: .028808454s
[19:14:20] 登录成功: 13800138000, 时间: .029403444s
[19:14:20] 查询成功: 13800138000, 时间: .035341576s
[19:14:20] 登录成功: 13900139000, 时间: .031665491s
[19:14:20] 查询成功: 13900139000, 时间: .021945835s
[19:14:20] 登录成功: 13700137000, 时间: .039632823s
[19:14:20] 查询成功: 13700137000, 时间: .035615662s
[19:14:20] 登录成功: 13800138000, 时间: .022363324s
[19:14:20] 查询成功: 13800138000, 时间: .023093710s
[19:14:20] 登录成功: 13900139000, 时间: .030569764s
[19:14:20] 查询成功: 13900139000, 时间: .032518776s
[19:14:20] 登录成功: 13700137000, 时间: .034182702s
[19:14:20] 查询成功: 13700137000, 时间: .035062493s
[19:14:21] 登录成功: 13800138000, 时间: .027763263s
[19:14:21] 查询成功: 13800138000, 时间: .030877765s
[19:14:21] 登录成功: 13900139000, 时间: .036882088s
[19:14:21] 查询成功: 13900139000, 时间: .026977772s
[19:14:21] 登录成功: 13700137000, 时间: .021297058s
[19:14:21] 查询成功: 13700137000, 时间: .027520829s
[19:14:21] 登录成功: 13800138000, 时间: .029074852s
[19:14:21] 查询成功: 13800138000, 时间: .029987959s
[19:14:21] 登录成功: 13900139000, 时间: .020659443s
[19:14:22] 查询成功: 13900139000, 时间: .022741064s
[19:14:22] 登录成功: 13700137000, 时间: .021552831s
[19:14:22] 查询成功: 13700137000, 时间: .023615140s
[19:14:22] 登录成功: 13800138000, 时间: .024774581s
[19:14:22] 查询成功: 13800138000, 时间: .021121321s
[19:14:22] 登录成功: 13900139000, 时间: .023676059s
[19:14:22] 查询成功: 13900139000, 时间: .023797396s
[19:14:22] 登录成功: 13700137000, 时间: .021205265s
[19:14:22] 查询成功: 13700137000, 时间: .024634872s
[19:14:22] 登录成功: 13800138000, 时间: .027725680s
[19:14:22] 查询成功: 13800138000, 时间: .022458285s
[19:14:23] 登录成功: 13900139000, 时间: .026270055s
[19:14:23] 查询成功: 13900139000, 时间: .021146712s
[19:14:23] 登录成功: 13700137000, 时间: .031730845s
[19:14:23] 查询成功: 13700137000, 时间: .028630155s
[19:14:23] 登录成功: 13800138000, 时间: .022389543s
[19:14:23] 查询成功: 13800138000, 时间: .027612311s
[19:14:23] 登录成功: 13900139000, 时间: .021822310s
[19:14:23] 查询成功: 13900139000, 时间: .022716138s
[19:14:23] 登录成功: 13700137000, 时间: .021686607s
[19:14:23] 查询成功: 13700137000, 时间: .021284560s
[19:14:23] 登录成功: 13800138000, 时间: .031816825s
[19:14:23] 查询成功: 13800138000, 时间: .032155416s
[19:14:24] 登录成功: 13900139000, 时间: .031962099s
[19:14:24] 查询成功: 13900139000, 时间: .036427648s
[19:14:24] 登录成功: 13700137000, 时间: .029183188s
[19:14:24] 查询成功: 13700137000, 时间: .028272415s
[19:14:24] 登录成功: 13800138000, 时间: .031626693s
[19:14:24] 查询成功: 13800138000, 时间: .036231144s
[19:14:24] 登录成功: 13900139000, 时间: .033942567s
[19:14:24] 查询成功: 13900139000, 时间: .038343077s
[19:14:25] 登录成功: 13700137000, 时间: .032728300s
[19:14:25] 查询成功: 13700137000, 时间: .027358611s
[19:14:25] 登录成功: 13800138000, 时间: .029871121s
[19:14:25] 查询成功: 13800138000, 时间: .036705793s
[19:14:25] 登录成功: 13900139000, 时间: .029657916s
[19:14:25] 查询成功: 13900139000, 时间: .028737980s
[19:14:25] 登录成功: 13700137000, 时间: .029250780s
[19:14:25] 查询成功: 13700137000, 时间: .029991733s
[19:14:26] 登录成功: 13800138000, 时间: .030904048s
[19:14:26] 查询成功: 13800138000, 时间: .034854728s
[19:14:26] 登录成功: 13900139000, 时间: .021978559s
[19:14:26] 查询成功: 13900139000, 时间: .025798660s
[19:14:26] 登录成功: 13700137000, 时间: .023062203s
[19:14:26] 查询成功: 13700137000, 时间: .023560771s
[19:14:26] 登录成功: 13800138000, 时间: .031798322s
[19:14:26] 查询成功: 13800138000, 时间: .034363631s
[19:14:26] 登录成功: 13900139000, 时间: .032114541s
[19:14:26] 查询成功: 13900139000, 时间: .023233307s
[19:14:26] 登录成功: 13700137000, 时间: .025905420s
[19:14:26] 查询成功: 13700137000, 时间: .020994862s
[19:14:26] 登录成功: 13800138000, 时间: .028553337s
[19:14:26] 查询成功: 13800138000, 时间: .032176518s
[19:14:27] 登录成功: 13900139000, 时间: .028581996s
[19:14:27] 查询成功: 13900139000, 时间: .029873314s
[19:14:27] 登录成功: 13700137000, 时间: .026469070s
[19:14:27] 查询成功: 13700137000, 时间: .033887373s
[19:14:27] 登录成功: 13800138000, 时间: .037341190s
[19:14:27] 查询成功: 13800138000, 时间: .031014313s
[19:14:27] 登录成功: 13900139000, 时间: .025693823s
[19:14:27] 查询成功: 13900139000, 时间: .035504191s
[19:14:27] 登录成功: 13700137000, 时间: .032825412s
[19:14:27] 查询成功: 13700137000, 时间: .033329087s
[19:14:27] 登录成功: 13800138000, 时间: .028955606s
[19:14:28] 查询成功: 13800138000, 时间: .034192746s
[19:14:28] 登录成功: 13900139000, 时间: .032506372s
[19:14:28] 查询成功: 13900139000, 时间: .026612561s
[19:14:28] 登录成功: 13700137000, 时间: .039903563s
[19:14:28] 查询成功: 13700137000, 时间: .030384980s
[19:14:28] 登录成功: 13800138000, 时间: .030291965s
[19:14:28] 查询成功: 13800138000, 时间: .032973562s
[19:14:28] 登录成功: 13900139000, 时间: .028484296s
[19:14:28] 查询成功: 13900139000, 时间: .031821186s
[19:14:29] 登录成功: 13700137000, 时间: .037282947s
[19:14:29] 查询成功: 13700137000, 时间: .031744122s
[19:14:29] 登录成功: 13800138000, 时间: .029511498s
[19:14:29] 查询成功: 13800138000, 时间: .033816563s
[19:14:29] 登录成功: 13900139000, 时间: .025872394s
[19:14:29] 查询成功: 13900139000, 时间: .022809983s
[19:14:29] 登录成功: 13700137000, 时间: .023009312s
[19:14:29] 查询成功: 13700137000, 时间: .027371295s
[19:14:29] 登录成功: 13800138000, 时间: .023770642s
[19:14:29] 查询成功: 13800138000, 时间: .023046193s
[19:14:30] 登录成功: 13900139000, 时间: .021541605s
[19:14:30] 查询成功: 13900139000, 时间: .026915340s
[19:14:30] 登录成功: 13700137000, 时间: .029375658s
[19:14:30] 查询成功: 13700137000, 时间: .032305005s
[19:14:30] 登录成功: 13800138000, 时间: .030205827s
[19:14:30] 查询成功: 13800138000, 时间: .025278492s
[19:14:30] 登录成功: 13900139000, 时间: .036525708s
[19:14:30] 查询成功: 13900139000, 时间: .031701790s
[19:14:31] 登录成功: 13700137000, 时间: .025365112s
[19:14:31] 查询成功: 13700137000, 时间: .034928453s
[19:14:31] 登录成功: 13800138000, 时间: .037365370s
[19:14:31] 查询成功: 13800138000, 时间: .035155738s
[19:14:31] 登录成功: 13900139000, 时间: .027147018s
[19:14:31] 查询成功: 13900139000, 时间: .033926313s
[19:14:32] 登录成功: 13700137000, 时间: .027243347s
[19:14:32] 查询成功: 13700137000, 时间: .034056301s
[19:14:32] 登录成功: 13800138000, 时间: .036938936s
[19:14:32] 查询成功: 13800138000, 时间: .033946429s
[19:14:32] 登录成功: 13900139000, 时间: .037564133s
[19:14:32] 查询成功: 13900139000, 时间: .034860620s
[19:14:32] 登录成功: 13700137000, 时间: .025924497s
[19:14:32] 查询成功: 13700137000, 时间: .033852090s
[19:14:32] 登录成功: 13800138000, 时间: .037488518s
[19:14:32] 查询成功: 13800138000, 时间: .034157702s
[19:14:32] 登录成功: 13900139000, 时间: .028772150s
[19:14:32] 查询成功: 13900139000, 时间: .030988762s
[19:14:32] 登录成功: 13700137000, 时间: .036783509s
[19:14:32] 查询成功: 13700137000, 时间: .031974995s
[19:14:33] 登录成功: 13800138000, 时间: .035253718s
[19:14:33] 查询成功: 13800138000, 时间: .034495416s
[19:14:33] 登录成功: 13900139000, 时间: .025350087s
[19:14:33] 查询成功: 13900139000, 时间: .033087534s
[19:14:33] 登录成功: 13700137000, 时间: .034178894s
[19:14:33] 查询成功: 13700137000, 时间: .028767868s
[19:14:33] 登录成功: 13800138000, 时间: .038127792s
[19:14:33] 查询成功: 13800138000, 时间: .030247124s
[19:14:33] 登录成功: 13900139000, 时间: .027937714s
[19:14:33] 查询成功: 13900139000, 时间: .034942418s
[19:14:33] 登录成功: 13700137000, 时间: .024328099s
[19:14:33] 查询成功: 13700137000, 时间: .021784917s
[19:14:33] 登录成功: 13800138000, 时间: .021766010s
[19:14:33] 查询成功: 13800138000, 时间: .025514468s
[19:14:33] 登录成功: 13900139000, 时间: .023385237s
[19:14:33] 查询成功: 13900139000, 时间: .025281243s
[19:14:34] 登录成功: 13700137000, 时间: .026496869s
[19:14:34] 查询成功: 13700137000, 时间: .029726211s
[19:14:34] 登录成功: 13800138000, 时间: .033505859s
[19:14:34] 查询成功: 13800138000, 时间: .031130653s
[19:14:34] 登录成功: 13900139000, 时间: .027579643s
[19:14:34] 查询成功: 13900139000, 时间: .030184099s
[19:14:34] 登录成功: 13700137000, 时间: .037122405s
[19:14:34] 查询成功: 13700137000, 时间: .028589735s
[19:14:34] 登录成功: 13800138000, 时间: .025884650s
[19:14:34] 查询成功: 13800138000, 时间: .035064811s
[19:14:35] 登录成功: 13900139000, 时间: .033436175s
[19:14:35] 查询成功: 13900139000, 时间: .029019254s
[19:14:35] 登录成功: 13700137000, 时间: .030230462s
[19:14:35] 查询成功: 13700137000, 时间: .035489300s
[19:14:35] 登录成功: 13800138000, 时间: .034711467s
[19:14:35] 查询成功: 13800138000, 时间: .026803554s
[19:14:36] 登录成功: 13900139000, 时间: .026929452s
[19:14:36] 查询成功: 13900139000, 时间: .035707619s
[19:14:36] 登录成功: 13700137000, 时间: .032378990s
[19:14:36] 查询成功: 13700137000, 时间: .036485040s
[19:14:36] 登录成功: 13800138000, 时间: .030363918s
[19:14:36] 查询成功: 13800138000, 时间: .025989432s
[19:14:36] 登录成功: 13900139000, 时间: .034616714s
[19:14:36] 查询成功: 13900139000, 时间: .035402122s
[19:14:36] 登录成功: 13700137000, 时间: .032696637s
[19:14:36] 查询成功: 13700137000, 时间: .032666008s
[19:14:37] 登录成功: 13800138000, 时间: .028681304s
[19:14:37] 查询成功: 13800138000, 时间: .033927937s
[19:14:37] 登录成功: 13900139000, 时间: .027046431s
[19:14:37] 查询成功: 13900139000, 时间: .031817469s
[19:14:37] 登录成功: 13700137000, 时间: .034031583s
[19:14:37] 查询成功: 13700137000, 时间: .030728840s
[19:14:37] 登录成功: 13800138000, 时间: .026714634s
[19:14:37] 查询成功: 13800138000, 时间: .034993193s
[19:14:37] 登录成功: 13900139000, 时间: .032410284s
[19:14:37] 查询成功: 13900139000, 时间: .028691420s
[19:14:37] 登录成功: 13700137000, 时间: .030665197s
[19:14:37] 查询成功: 13700137000, 时间: .035881984s
[19:14:37] 登录成功: 13800138000, 时间: .032242522s
[19:14:38] 查询成功: 13800138000, 时间: .028019347s
[19:14:38] 登录成功: 13900139000, 时间: .029560511s
[19:14:38] 查询成功: 13900139000, 时间: .043391158s
[19:14:38] 登录成功: 13700137000, 时间: .034915399s
[19:14:38] 查询成功: 13700137000, 时间: .028463364s
[19:14:38] 登录成功: 13800138000, 时间: .028094904s
[19:14:38] 查询成功: 13800138000, 时间: .036864235s
[19:14:38] 登录成功: 13900139000, 时间: .032466945s
[19:14:38] 查询成功: 13900139000, 时间: .029691013s
[19:14:38] 登录成功: 13700137000, 时间: .030179998s
[19:14:38] 查询成功: 13700137000, 时间: .036087566s
[19:14:38] 登录成功: 13800138000, 时间: .037960919s
[19:14:38] 查询成功: 13800138000, 时间: .031217819s
[19:14:38] 登录成功: 13900139000, 时间: .022935469s
[19:14:38] 查询成功: 13900139000, 时间: .023530423s
[19:14:39] 登录成功: 13700137000, 时间: .027271807s
[19:14:39] 查询成功: 13700137000, 时间: .034519160s
[19:14:39] 登录成功: 13800138000, 时间: .032944711s
[19:14:39] 查询成功: 13800138000, 时间: .028465416s
[19:14:39] 登录成功: 13900139000, 时间: .033552642s
[19:14:39] 查询成功: 13900139000, 时间: .028632880s
[19:14:39] 登录成功: 13700137000, 时间: .033134294s
[19:14:39] 查询成功: 13700137000, 时间: .035239482s
[19:14:39] 登录成功: 13800138000, 时间: .032162487s
[19:14:40] 查询成功: 13800138000, 时间: .032312275s
[19:14:40] 登录成功: 13900139000, 时间: .026200821s
[19:14:40] 查询成功: 13900139000, 时间: .031659351s
[19:14:40] 登录成功: 13700137000, 时间: .035461650s
[19:14:40] 查询成功: 13700137000, 时间: .031103175s
[19:14:40] 登录成功: 13800138000, 时间: .034580500s
[19:14:40] 查询成功: 13800138000, 时间: .033995954s
[19:14:40] 登录成功: 13900139000, 时间: .033300161s
[19:14:40] 查询成功: 13900139000, 时间: .033113930s
[19:14:40] 登录成功: 13700137000, 时间: .025674278s
[19:14:40] 查询成功: 13700137000, 时间: .035999875s
[19:14:41] 登录成功: 13800138000, 时间: .034763196s
[19:14:41] 查询成功: 13800138000, 时间: .034016864s
[19:14:41] 登录成功: 13900139000, 时间: .026769167s
[19:14:41] 查询成功: 13900139000, 时间: .033662290s
[19:14:41] 登录成功: 13700137000, 时间: .036093285s
[19:14:41] 查询成功: 13700137000, 时间: .027118425s
[19:14:41] 登录成功: 13800138000, 时间: .029277020s
[19:14:41] 查询成功: 13800138000, 时间: .032122643s
[19:14:41] 登录成功: 13900139000, 时间: .039341412s
[19:14:41] 查询成功: 13900139000, 时间: .029020431s
[19:14:41] 登录成功: 13700137000, 时间: .027103748s
[19:14:41] 查询成功: 13700137000, 时间: .036887180s
[19:14:42] 登录成功: 13800138000, 时间: .030838136s
[19:14:42] 查询成功: 13800138000, 时间: .037664895s
[19:14:42] 登录成功: 13900139000, 时间: .034805981s
[19:14:42] 查询成功: 13900139000, 时间: .029703681s
[19:14:42] 登录成功: 13700137000, 时间: .030403602s
[19:14:42] 查询成功: 13700137000, 时间: .037030689s
[19:14:42] 登录成功: 13800138000, 时间: .034317686s
[19:14:42] 查询成功: 13800138000, 时间: .029161972s
[19:14:42] 登录成功: 13900139000, 时间: .030692881s
[19:14:42] 查询成功: 13900139000, 时间: .033493882s
[19:14:42] 登录成功: 13700137000, 时间: .029580582s
[19:14:42] 查询成功: 13700137000, 时间: .028815771s
[19:14:42] 登录成功: 13800138000, 时间: .030717892s
[19:14:42] 查询成功: 13800138000, 时间: .025374826s
[19:14:43] 登录成功: 13900139000, 时间: .032707515s
[19:14:43] 查询成功: 13900139000, 时间: .031772807s
[19:14:43] 登录成功: 13700137000, 时间: .036621618s
[19:14:43] 查询成功: 13700137000, 时间: .035229322s
[19:14:43] 登录成功: 13800138000, 时间: .029952998s
[19:14:43] 查询成功: 13800138000, 时间: .035292908s
[19:14:43] 登录成功: 13900139000, 时间: .027601337s
[19:14:43] 查询成功: 13900139000, 时间: .031190981s
[19:14:43] 登录成功: 13700137000, 时间: .029423446s
[19:14:43] 查询成功: 13700137000, 时间: .030012420s
[19:14:43] 登录成功: 13800138000, 时间: .033181000s
[19:14:43] 查询成功: 13800138000, 时间: .032941873s
[19:14:44] 登录成功: 13900139000, 时间: .028353264s
[19:14:44] 查询成功: 13900139000, 时间: .036492909s
[19:14:44] 登录成功: 13700137000, 时间: .034509038s
[19:14:44] 查询成功: 13700137000, 时间: .027042834s
[19:14:44] 登录成功: 13800138000, 时间: .039822885s
[19:14:44] 查询成功: 13800138000, 时间: .031973026s
[19:14:44] 登录成功: 13900139000, 时间: .027146764s
[19:14:44] 查询成功: 13900139000, 时间: .037242597s
[19:14:45] 登录成功: 13700137000, 时间: .034448470s
[19:14:45] 查询成功: 13700137000, 时间: .033831491s
[19:14:45] 登录成功: 13800138000, 时间: .022483665s
[19:14:45] 查询成功: 13800138000, 时间: .024374977s
[19:14:45] 登录成功: 13900139000, 时间: .032828163s
[19:14:45] 查询成功: 13900139000, 时间: .033179030s
[19:14:45] 登录成功: 13700137000, 时间: .030534628s
[19:14:45] 查询成功: 13700137000, 时间: .026877919s
[19:14:46] 登录成功: 13800138000, 时间: .033714379s
[19:14:46] 查询成功: 13800138000, 时间: .024389212s
[19:14:46] 登录成功: 13900139000, 时间: .032282964s
[19:14:46] 查询成功: 13900139000, 时间: .039929469s
[19:14:46] 登录成功: 13700137000, 时间: .037201535s
[19:14:46] 查询成功: 13700137000, 时间: .026440025s
[19:14:46] 登录成功: 13800138000, 时间: .021568635s
[19:14:46] 查询成功: 13800138000, 时间: .024675322s
[19:14:47] 登录成功: 13900139000, 时间: .036645725s
[19:14:47] 查询成功: 13900139000, 时间: .023656982s
[19:14:47] 登录成功: 13700137000, 时间: .025250624s
[19:14:47] 查询成功: 13700137000, 时间: .036772976s
[19:14:47] 登录成功: 13800138000, 时间: .035759504s
