[19:40:25] 登录成功: 13800138000, 时间: .027788303s
[19:40:25] 查询成功: 13800138000, 时间: .023222517s
[19:40:26] 登录成功: 13900139000, 时间: .022913896s
[19:40:26] 查询成功: 13900139000, 时间: .023908270s
[19:40:26] 登录成功: 13700137000, 时间: .026437688s
[19:40:26] 查询成功: 13700137000, 时间: .021414618s
[19:40:26] 登录成功: 13800138000, 时间: .022429267s
[19:40:26] 查询成功: 13800138000, 时间: .026142216s
[19:40:26] 登录成功: 13900139000, 时间: .020464764s
[19:40:26] 查询成功: 13900139000, 时间: .026306925s
[19:40:26] 登录成功: 13700137000, 时间: .026573974s
[19:40:26] 查询成功: 13700137000, 时间: .023212933s
[19:40:26] 登录成功: 13800138000, 时间: .025418456s
[19:40:26] 查询成功: 13800138000, 时间: .023489781s
[19:40:27] 登录成功: 13900139000, 时间: .021074668s
[19:40:27] 查询成功: 13900139000, 时间: .025004888s
[19:40:27] 登录成功: 13700137000, 时间: .026981889s
[19:40:27] 查询成功: 13700137000, 时间: .032972897s
[19:40:27] 登录成功: 13800138000, 时间: .033633774s
[19:40:27] 查询成功: 13800138000, 时间: .028018491s
[19:40:28] 登录成功: 13900139000, 时间: .028841080s
[19:40:28] 查询成功: 13900139000, 时间: .036994970s
[19:40:28] 登录成功: 13700137000, 时间: .031555398s
[19:40:28] 查询成功: 13700137000, 时间: .027175182s
[19:40:28] 登录成功: 13800138000, 时间: .029676911s
[19:40:28] 查询成功: 13800138000, 时间: .032866870s
[19:40:28] 登录成功: 13900139000, 时间: .026651708s
[19:40:28] 查询成功: 13900139000, 时间: .035559983s
[19:40:28] 登录成功: 13700137000, 时间: .035015458s
[19:40:28] 查询成功: 13700137000, 时间: .038849075s
[19:40:28] 登录成功: 13800138000, 时间: .030085438s
[19:40:28] 查询成功: 13800138000, 时间: .029213309s
[19:40:29] 登录成功: 13900139000, 时间: .034030413s
[19:40:29] 查询成功: 13900139000, 时间: .033648868s
[19:40:29] 登录成功: 13700137000, 时间: .026286642s
[19:40:29] 查询成功: 13700137000, 时间: .034170340s
[19:40:29] 登录成功: 13800138000, 时间: .033923168s
[19:40:29] 查询成功: 13800138000, 时间: .037700086s
[19:40:29] 登录成功: 13900139000, 时间: .033593417s
[19:40:29] 查询成功: 13900139000, 时间: .041382988s
[19:40:30] 登录成功: 13700137000, 时间: .035096816s
[19:40:30] 查询成功: 13700137000, 时间: .027726575s
[19:40:30] 登录成功: 13800138000, 时间: .021990724s
[19:40:30] 查询成功: 13800138000, 时间: .026275194s
[19:40:30] 登录成功: 13900139000, 时间: .025752469s
[19:40:30] 查询成功: 13900139000, 时间: .022176556s
[19:40:30] 登录成功: 13700137000, 时间: .025327262s
[19:40:30] 查询成功: 13700137000, 时间: .022914651s
[19:40:30] 登录成功: 13800138000, 时间: .023816541s
[19:40:30] 查询成功: 13800138000, 时间: .023109899s
[19:40:30] 登录成功: 13900139000, 时间: .030055418s
[19:40:30] 查询成功: 13900139000, 时间: .023740709s
[19:40:30] 登录成功: 13700137000, 时间: .024690859s
[19:40:31] 查询成功: 13700137000, 时间: .026556605s
[19:40:31] 登录成功: 13800138000, 时间: .038764475s
[19:40:31] 查询成功: 13800138000, 时间: .028820892s
[19:40:31] 登录成功: 13900139000, 时间: .027257899s
[19:40:31] 查询成功: 13900139000, 时间: .026596633s
[19:40:31] 登录成功: 13700137000, 时间: .027682258s
[19:40:31] 查询成功: 13700137000, 时间: .022017677s
[19:40:31] 登录成功: 13800138000, 时间: .023601186s
[19:40:31] 查询成功: 13800138000, 时间: .023704339s
[19:40:31] 登录成功: 13900139000, 时间: .031068764s
[19:40:31] 查询成功: 13900139000, 时间: .036287518s
[19:40:32] 登录成功: 13700137000, 时间: .036974354s
[19:40:32] 查询成功: 13700137000, 时间: .030308714s
[19:40:32] 登录成功: 13800138000, 时间: .026000419s
[19:40:32] 查询成功: 13800138000, 时间: .022907846s
[19:40:32] 登录成功: 13900139000, 时间: .025955706s
[19:40:32] 查询成功: 13900139000, 时间: .020812264s
[19:40:32] 登录成功: 13700137000, 时间: .021753162s
[19:40:32] 查询成功: 13700137000, 时间: .027737828s
